爬取时间,作品名,作品ID,作品链接,评论者ID,评论者主页,短评内容,短评发布时间,星级评分数,短评有用数
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,#未注销#,https://www.douban.com/people/thedarknine/,"
            
                网飞出品，多 半成品，这可是久违的“丝滑”。神童，但不神化。“山川异域，风月同天”，何尝不是一个江湖故事。
        ","
                    2020-10-23
                ",4,1368
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,elfish,https://www.douban.com/people/elfish/,"
            
                日子那么苦，不看点爽剧留着腌苦丁茶吗？
        ","
                    2020-10-24
                ",5,2444
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,秀了个咻,https://www.douban.com/people/157309615/,"
            
                一口气肝完。女王凭借过人天赋和贵人与后宫相助，一路打怪升级击败毛熊，成为新一代象棋界顶流的故事。全剧基调和女主疏冷淡漠的性格一样，不煽情不流于表面，情感表达细腻又淡然。女主不拘泥于一方天地和小情小爱，全身心投入象棋事业，这样的大女主剧请多多益善。此剧对于女性角色的刻画也是一大亮点。被丈夫抛弃毅然和女主一起开创事业的养母，同是孤儿出身靠自己努力当律师的黑妞酷飒闺蜜，身残志坚的孤儿院女院长，通透又洒脱的女模特等等。
        ","
                    2020-10-24
                ",5,1578
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,转发点赞五星,https://www.douban.com/people/26414546/,"
            
                这个剧情感觉有点平淡，但是我为什么看完了。男人都想帮你，但其实是想睡你，但其实还是想帮你。没啥，我也想生活在俄罗斯。
        ","
                    2020-10-24
                ",5,1407
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,酱爆蛏子,https://www.douban.com/people/83645320/,"
            
                爽片，我喜欢！说土味也挺土味的。最后一集我还看哭了（泪点也很土味）
        ","
                    2020-10-24
                ",4,702
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,fushia,https://www.douban.com/people/gotothefield/,"
            
                国际象棋版麦瑟尔夫人+美国夫人+梅尔罗斯。最后一集好俗气啊但我仍然不能免俗地在每一个泪点留下眼泪。
        ","
                    2020-10-27
                ",4,634
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,呀嘿,https://www.douban.com/people/59591989/,"
            
                网飞的剧果然够给劲，女主一路的成长和升级打怪让人热血沸腾啊，最后终于赢了博戈夫那一刻要是她的养母也在就好了。
        ","
                    2020-10-24
                ",5,950
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,做到了才最开心,https://www.douban.com/people/121363909/,"
            
                太好看了吧！这部剧真的有太多话可讲，一两句是概括不完的，看得人真爽！就如同用聪明人的视角在看世界一样！太喜欢了！就像你在过一种人生，而你却还搞不懂人生时，你已经在人生的这条路上了。
        ","
                    2020-10-24
                ",5,906
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,蚂蚁没问题,https://www.douban.com/people/rachel-rachel/,"
            
                下半年最值得看的美剧，不懂国际象棋也一样看得热泪盈眶、激动不已，天才女主，尽管也挣扎，但身边遇到的都是好人，有太多的机会剧集可以走向俗套的狗血，但都没有，只是keep on winning！
        ","
                    2020-10-25
                ",5,816
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,GREY,https://www.douban.com/people/166994682/,"
            
                看到萨贝先生地下室满墙的女主的简报那一刻 哭了
                
                
        ","
                    2020-10-24
                ",,1480
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,醉梦间,https://www.douban.com/people/174753625/,"
            
                一下午看完了，大女主爽剧甩艾米丽十条街。沉迷女主美貌无法自拔！好有气质啊!就是女主这么美又厉害为啥安排的男友都是穷鬼？二号男友就是下棋厉害点呗，长得好矮哦，还住地下室，事后张口闭口就是下棋😂。除了最后一位感觉还好点。七集是前男友联盟吗？都在帮女主团宠无疑了!就是有点心疼萨贝，真是世上最爱女主的人了吧？（我感觉她妈和她就是互相的依靠和利益关系而不是爱）拿的是祭天剧本吗？女主状态恢复的必走路线？女主为啥当初赢了比赛也不还钱，火了这么多年也没去看过人家这点感觉有点疑惑，不至于这么冷血无情吧😦导演刻意安排的嘛？
        ","
                    2020-10-24
                ",5,739
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,清水和豆腐,https://www.douban.com/people/chidoufuma/,"
            
                一口气看完居然有一种看完一部电影的感觉 爽剧 
        ","
                    2020-10-24
                ",5,623
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,栗阿姨,https://www.douban.com/people/63402858/,"
            
                我抽烟喝酒搞男人，但老娘是世界冠军。
        ","
                    2020-10-28
                ",5,546
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,和菜头,https://www.douban.com/people/hecaitou/,"
            
                非常好，奈飞终于出好剧了。超越了国别、政治、性别、过往，一个独立而自由的人。五星推荐！十月必看剧目。
        ","
                    2020-10-28
                ",5,434
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,小虎大象,https://www.douban.com/people/143365092/,"
            
                事实证明没有人不喜欢聪明的人
        ","
                    2020-10-26
                ",4,552
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,基瑞尔,https://www.douban.com/people/stevecarell/,"
            
                看到第三集左右，才发现这不是部基于真实故事，复制流水账生平事迹的传记剧。而是一个角色的成长故事，从孤儿到女孩再到女人。创伤、烟酒成瘾、初尝爱恋滋味再到对声名的控制；深入敏感背景下的苏俄，对进步思潮的接触；黑白盘是她唯一真正找到投诚自己的温柔乡。凡此种种组成了Beth传奇且具有魅力的故事。Anya自身既能诠释天才少女的聪敏，又带有几分“危险放纵”的气质实在和角色本身太搭了，所以本剧的成立有个非常天然优异的前提。PS 是个好导演之外，完全没想到Marielle Heller也能交上如此有趣的表演功课。
        ","
                    2020-10-24
                ",4,411
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,马里奥,https://www.douban.com/people/61951505/,"
            
                不懂棋也不妨礙，甚至每一集裡面的棋局那裡都好好看，女主眼睛好大，像小鹿，好漂亮，裡面棋局時候的BGM好舒爽，看完後還蠻想讀原著的。
        ","
                    2020-10-24
                ",5,479
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,岛田贝基塔,https://www.douban.com/people/nerochan/,"
            
                下快棋那几段剪辑简直在告诉人们下棋也能非常酷。除了对专业国际象棋的展现，同时还描写了关于丧母创伤、孤儿领养、女权意识、精神束缚等等诸多议题。女主演得好棒，这张脸应该是好莱坞青少年组比较特别的存在了。所有配角也都各自散发光芒，对苏联人的刻画也很有意思。因为此剧还回忆起小学在校训练国际象棋并参加比赛的时光，那时人们还没有被智能手机占据心灵，书包里会放一盒棋盘。
        ","
                    2020-10-25
                ",5,316
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,一滴沥青,https://www.douban.com/people/strawberryBER/,"
            
                7集展现天才成长之路，智力的优越性让他在学业中成为佼佼者，而在成长环境中的与象棋启蒙老师的相遇成为了她未来闪耀之路的起点，成长中也有苦痛，凭借自己的力量恐怕也难以脱离苦沼，但恰有朋友相助，儿时伙伴或者棋友、甚至国家助力，女主光环闪耀。。。感叹女主另一明智明的决定是学习俄语，最后和老爷爷们下棋那段真是太感人了~寻找到并投身于自己感兴趣的事业中何其幸运，而它最后又会带你见到更好的人和景（理想状态）~
        ","
                    2020-10-24
                ",5,232
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,玛雅殇喾,https://www.douban.com/people/MayaSK/,"
            
                起点（棋点），也是终点（钟点），我哭了，开心的哭了。
        ","
                    2020-10-26
                ",5,215
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,貓小三的意思其實是如果先生,https://www.douban.com/people/2473154/,"
            
                喜欢的一处是女主“把第一次给了”毫无意义的陌生人，弹幕哀嚎遍野。
        ","
                    2020-10-29
                ",4,353
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,Lanita,https://www.douban.com/people/144785244/,"
            
                妳必须要有天赋够努力才能逃脱层层桎梏，妳必须是万里挑一的女性才能在男权社会脱颖而出，没有比这更现实的了。
        ","
                    2020-10-27
                ",4,300
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,彭萦,https://www.douban.com/people/emilycat/,"
            
                在床上做完爱，下一秒立马复盘棋局，这太真实了。#高手和普通人的区别 
        ","
                    2020-10-26
                ",4,201
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,桃子乐,https://www.douban.com/people/62943026/,"
            
                “男人会闯入你的生活教你做事，但并不代表他们比较聪明，多数时候。他们比较笨，只是教人做事让他们更有面子，他们会教你怎么把事情做好，尽管让他们吹，你过你的人生，想做什么就去做。”
        ","
                    2020-10-27
                ",4,213
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,虾坨坨艺仔,https://www.douban.com/people/yancm/,"
            
                真的很爽。看到有人质疑女主为啥不还那10块钱，我其实挺理解的，对于感情疏离的人来说，不想断开和关心的人的最后一点联系总是这样，还了10块钱两个人的关系就彻底结束了。
        ","
                    2020-11-01
                ",5,183
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,AprilRoro,https://www.douban.com/people/aprilroro/,"
            
                只看了4集，觉得很一般啊。首先，它在割裂女性群体，把爱烤蛋糕派、对男孩子感兴趣的女孩子和聪明独立的女孩子作了完全的对比和割裂，这完全是一种male gaze;  其次，女孩所遭遇到的困境似乎也仅仅局限于偏见和流言碎语，而不像我的天才女友一样，直接反映普通女孩会在一生中或多或少遭遇到的教育受限、骚扰、暴力等等问题，女主的认知能力发达到她只需要带着一颗大脑就可以征服全世界。始终觉得这片子带着一股男性视角的慕强臭气。
        ","
                    2020-10-29
                ",3,777
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,桃桃林林,https://www.douban.com/people/qijiuzhiyue/,"
            
                一口气刷完，太嗨了，故事完全是爽剧模式，却又有对人物内心的探讨。安雅又一次美得让人挪不开眼。过瘾。
        ","
                    2020-10-28
                ",4,96
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,咯咯精,https://www.douban.com/people/gegejing/,"
            
                女主一心搞事业也太爽了 简直精神镇静剂
        ","
                    2020-10-27
                ",5,178
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,paris,https://www.douban.com/people/180597547/,"
            
                奇幻剧，没有专业训练，只靠地下室的几次入门教学，靠吃安眠药产生幻觉在天花板下棋，却打败了全世界特级选手，儿童时期就是美国全胜冠军，一举击败各种高龄专业选手，只用一颗安眠药，女主马上开挂。主角用31岁的脸演13岁的天才儿童还被人收养，成为全美冠军时居然只17岁，真的尴尬啊！里面唯一的正式两次专业导师训练还是靠睡来的。。。
美国1960就有彩色电视机了？
        ","
                    2020-10-28
                ",2,127
